ip16	rep_ip	asn	bgp_prefix	cc	registry	as_org
2.202	2.202.0.1	3209	2.200.0.0/13	DE	ripencc	VODANET - Vodafone GmbH, DE
3.12	3.12.0.1	16509	3.12.0.0/16	US	arin	AMAZON-02 - Amazon.com, Inc., US
3.23	3.23.0.1	16509	3.20.0.0/14	US	arin	AMAZON-02 - Amazon.com, Inc., US
3.129	3.129.0.1	16509	3.128.0.0/15	US	arin	AMAZON-02 - Amazon.com, Inc., US
3.131	3.131.0.1	16509	3.131.0.0/16	US	arin	AMAZON-02 - Amazon.com, Inc., US
4.149	4.149.0.1	8075	4.144.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150	4.150.0.1	8075	4.144.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151	4.151.0.1	8075	4.144.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154	4.154.0.1	8075	4.144.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155	4.155.0.1	8075	4.144.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227	4.227.0.1	8075	4.224.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.236	4.236.0.1	8075	4.224.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.242	4.242.0.1	8075	4.240.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.246	4.246.0.1	8075	4.240.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.255	4.255.0.1	8075	4.240.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
5.253	5.253.0.1	216331	5.253.0.0/24	DE	ripencc	TRALIOS - Tralios IT GmbH, DE
13.66	13.66.0.1	8075	13.64.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
13.78	13.78.0.1	8075	13.64.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
13.83	13.83.0.1	8075	13.64.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
13.86	13.86.0.1	8075	13.64.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
18.139	18.139.0.1	16509	18.138.0.0/15	US	arin	AMAZON-02 - Amazon.com, Inc., US
18.220	18.220.0.1	16509	18.220.0.0/14	US	arin	AMAZON-02 - Amazon.com, Inc., US
20.1	20.1.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.3	20.3.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.7	20.7.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.9	20.9.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.10	20.10.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.12	20.12.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.14	20.14.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.15	20.15.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.22	20.22.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.25	20.25.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.29	20.29.0.1	8075	20.0.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.43	20.43.0.1	8075	20.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.45	20.45.0.1	8075	20.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.46	20.46.0.1	8075	20.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.55	20.55.0.1	8075	20.48.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.57	20.57.0.1	8075	20.48.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.59	20.59.0.1	8075	20.48.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.62	20.62.0.1	8075	20.48.0.0/12	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.64	20.64.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.65	20.65.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.66	20.66.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.69	20.69.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.75	20.75.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.80	20.80.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.83	20.83.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.88	20.88.0.1	8075	20.64.0.0/10	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
