alias,timestamp,creator_ip,clicks,referrer_host,referrer_url,count
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?jq=%7Bs%3A.status.url%2Ce%3A%28.contents%7Cfromjson%7C%5B.regCF_county_2019%5B%5D%7Cselect%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%5D%29%7D&url=https%3A%2F%2Fda.gd%2FJ7cAQ,2
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?jq=%7Bs%3A.status.url%2Ce%3A%28.contents%7Cfromjson%7C%5B.regCF_county_2020%5B%5D%7Cselect%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%5D%29%7D&url=https%3A%2F%2Fda.gd%2FJ7cAQ,2
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?jq=%7Bs%3A.status.url%2Ce%3A%28.contents%7Cfromjson%7C%5B.regCF_county_2021%5B%5D%7Cselect%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%5D%29%7D&url=https%3A%2F%2Fda.gd%2FJ7cAQ,2
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json&jq=.regCF_county_2019%5B46%3A52%5D,30
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json&jq=.regCF_county_2020%5B52%3A62%5D,30
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json&jq=.regCF_county_2021%5B82%3A91%5D,30
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FSECcountyM&jq=.regCF_county_2019%7Cmap%28select%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%7C%7Bcode%2Cth%3A%28%28.usd%2F10%7Cround%29%2F100%29%7D%29,30
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FSECcountyM&jq=.regCF_county_2020%7Cmap%28select%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%7C%7Bcode%2Cth%3A%28%28.usd%2F10%7Cround%29%2F100%29%7D%29,30
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FSECcountyM&jq=.regCF_county_2021%7Cmap%28select%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%7C%7Bcode%2Cth%3A%28%28.usd%2F10%7Cround%29%2F100%29%7D%29,30
massdata2,2026-06-18 10:14:44,20.69.60.33,952,jqp.vercel.app,https://jqp.vercel.app/api/v0?url=https%3A//assets.dataforindia.com/charts/d88e6864f43c426dbcd1ee675a8944a7/data.json&jq=.,38
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,http://vanderbi.lt,2
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,http://vanderbi.lt/agtest00999%2B,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,http://vanderbi.lt/massdata2,3
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,http://vanderbi.lt/povclock2018all+,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/12ehd%2B,3
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/agtest00999%252B,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/agtest00999%2B,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/agtest00999%2B?z=xx0.9232720868876161,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/bridgezz%2B,5
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/canunctadtest,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/cookage85datax%2B,4
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/cookage85datax%2B?z=OPEN123,4
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/cookage85datax+,4
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/COOKSTATZZZ,4
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH0,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH1,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH2,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH3,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH4,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH5,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH6,1
massdata2,2026-06-18 10:14:44,20.69.60.33,952,vanderbi.lt,https://vanderbi.lt/erieshop770099%2B?keyword=kqd65%26fresh=ERIEFRESH7,1
